ID,Nome,Localidade,Profissao
16454271,Dorot�ia Quintella,Ruvina,Empregado de mesa
33093138,N�lson Hil�rio,Paçô,Especialista em inteligência artificial
46895890,Berenice Dantas,Caxarias,Estafeta
64832174,Carminda Santar�m,Lumiar,Tradutor
28521318,Cleide Bandeira,Esporões,Segurança privado
12183267,Romeu Varej�o,Alvito da Beira,Veterinário
85121502,Calvin Portugal,Madalena do Mar,Auditor
19792841,Reinaldo Travassos,S. João do Monte,Polícia
29279673,Fernando Chamusca,S. Paulo,Médico
76003651,Jade Batata,Praia de Mira,Engenheiro civil
10722277,Il�dio Gameiro,Montemor-o-Velho,Gestor de produto
38400418,Isis Ata�de,Sobralinho,Soldador
39009257,B�rbara Pires,S. Miguel da Guarda,Pescador
47292288,Nancy Sosa,Serra de Santo António,Barman
16792672,Camilo Palmeira,Vinha da Rainha,Barman
41935704,Ma�sa Terra,Lamas,Ator
10643551,Rafael Telles,Fornos,Técnico de recursos humanos
59474666,Wilker Castilhos,Queirã,Guia turístico
53782246,Jacinta Olivares,S. Pedro de Tomar,Animador turístico
70706687,Nina Villalobos,Sendim,Empregado de mesa
13140288,Luisa Cavadas,Barrosas (Santo Estevão),Esteticista
14187855,Belarmino Santana,Piódão,Engenheiro civil
17135975,Gustavo Matta,Marvila,Engenheiro industrial
58675184,Aline Vasques,Donai,Estafeta
15307134,Vanessa Mantas,Moledo,Freelancer
26620433,Miranda Carreiro,Merelim (S. Pedro),Técnico ambiental
21976726,Serafim Mora,Vale de Gouvinhas,Web designer
36293239,Josefa Vilari�a,Passos,Comercial / vendedor
11517573,Victor Candal,Currelos,Esteticista
36141966,Valadares Ferr�o,Gémeos,Motorista
18494341,Ol�via Diniz,Penha de Águia,Programador / Desenvolvedor de software
88351551,Consuelo Marinho,Alvações do Corgo,Jornalista
26319017,Nadir Canto,Colmeal da Torre,Pedreiro
95584775,Iracema Saloio,Ribeira Chã,Especialista em cibersegurança
24821195,La�s Milheir�o,Vila de Cucujães,Engenheiro civil
33490017,Francelina Roriz,Esposende,Médico
71803117,Jocosa Naz�rio,Apúlia,Escritor
15023008,Cl�lia Pires,Lagoa (Nª Sra do Rosário),Engenheiro químico
30595989,Marta Alancastre,Jazente,Nutricionista
22913260,Anabela Gomide,S. Nicolau,Técnico administrativo
67000989,Em�lio Siqueira,Guadalupe,Rececionista de hotel
27436082,Fausto Toscano,Rebordões,Cozinheiro / chef
26387876,M�rcio Gravato,Baçal,Canalizador
25776309,No�mia Pais,Couto,Analista de dados
32944370,Nestor Bentes,Argivai,Notário
27079464,Herm�nia Lameirinhas,Boa Aldeia,Engenheiro mecânico
11191120,Atan�sio C�sar,Castanheira,Técnico de manutenção
17975974,Odair Bragan�a,Mogofores,Enfermeiro
65374241,L�cia Parracho,Pousafoles do Bispo,Diretor de hotel
96380076,Concei��o Vilas-Boas,Jolda (S. Paio),Consultor financeiro
16817783,Lourival Mour�o,Covelas,Engenheiro industrial
15048374,Sheila Sabrosa,Vila Nova,Técnico ambiental
27800987,Maximiliano Paranhos,Nespereira,Assistente social
48309926,Yasmin Eanes,Penamaior,Animador turístico
35822970,Eliana Castel-Branco,Venda do Pinheiro,Esteticista
19040557,Diogo Cortes�o,Vilela,Formador profissional
18037498,Hirondina Mascare�as,Calde,Médico
52714649,Marcelo Carvalhal,Cota,Consultor financeiro
19414166,Gilda Nogueira,Fornelos,Engenheiro civil
69375755,Erico Noronha,448,Técnico de análises clínicas
50667746,J�lia Rebelo,Boim,Auditor
23188603,Daniela Mayor,Vale de Santiago,Agricultor
43416285,Jonathan Vig�rio,Oliveira do Bairro,Auditor
96053799,Dolores Paz,Alpedriz,Solicitador
66066909,Rog�rio Frias,Mamarrosa,Animador turístico
12673090,Sofia Martinho,Pombeiro de Ribavizela,Freelancer
15323432,Naomi Canadas,Lamaçães,Animador turístico
36823270,Gertrudes Macena,Aguim,Maquinista
28225983,David Nobre,Orbacém,Solicitador
50638300,M�rcio Salvado,Pernes,Assistente dentário
36067087,Dayse Leme,S. João de Rei,Solicitador
21094604,Dora In�s,Vale Covo,Veterinário
26740759,Estev�o Barroqueiro,Mouçós,Nutricionista
30474440,Aur�lio Martins,Milheirós,Músico
52211180,Din� Passarinho,Paradinha Nova,Farmacêutico
84253828,Manuela Grande,Alcobaça,Guarda prisional
18870469,�scar Paix�o,Bonfim,Agricultor
54031798,Irina Borba,Silvares (S. Clemente),Investigador
23034443,Fabiano Anjos,Lapa do Lobo,DevOps engineer
36158446,Vanusa Fonseca,Pínzio,Solicitador
19219410,�lio Casado,Palmaz,Segurança privado
83925827,Judith Sesimbra,Carapeços,Ator
81297023,Priscilo Bivar,Mós,Economista
69457547,Talita Carvalheira,Fornelo do Monte,Barman
48573400,Shirley Liberato,Nogueira da Regedoura,Eletricista
16840668,Cinira Malheiros,Massarelos,Cozinheiro / chef
50407768,Neandro Milheiro,Paradela,Engenheiro químico
19474894,Florbela Antas,Santo Estêvão das Galés,DevOps engineer
26890970,Waldemar Veloso,Esporões,Advogado
32739008,Tito Camarinho,Góis,Educador social
24617988,Yolanda Sintra,Vilar,Engenheiro químico
13909645,Assun��o Po�as,Parreira,Animador turístico
99552596,Belmiro Abranches,Penela (S. Miguel),Músico
18532804,Din� Minho,Brotas,Comercial / vendedor
25211977,Delfina Maciel,Burgo,Carpinteiro
15999517,Albano Covelh�,Meixide,Economista
39616109,Sabrina Palhares,Bastuço (S. João),Explicador / tutor
